division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
QF_FPArith,QF_ABVFP,unsat,>=24s,no,2297.0217000000002,2297.1525,16,2022-Bitwuzla
QF_FPArith,QF_ABVFPLRA,sat,<=24s,no,2.244621,2.247282,9,2022-Bitwuzla
QF_FPArith,QF_ABVFPLRA,starexec-unknown,<=24s,no,0.07650799999999999,0.1879975,16,2022-Bitwuzla
QF_FPArith,QF_AUFBVFP,sat,<=24s,no,0.335457,0.335508,1,2022-Bitwuzla
QF_FPArith,QF_BVFP,sat,<=24s,no,106.881178,106.9482451,147,2022-Bitwuzla
QF_FPArith,QF_BVFP,sat,>=24s,no,236.89749999999998,236.93009999999998,2,2022-Bitwuzla
QF_FPArith,QF_BVFP,starexec-unknown,>=24s,no,1200.0,1200.0,1,2022-Bitwuzla
QF_FPArith,QF_BVFP,unsat,<=24s,no,315.709922,314.9338076,253,2022-Bitwuzla
QF_FPArith,QF_BVFP,unsat,>=24s,no,1742.9931000000001,1743.1761000000001,11,2022-Bitwuzla
QF_FPArith,QF_BVFPLRA,sat,<=24s,no,52.537296999999995,52.5482272,41,2022-Bitwuzla
QF_FPArith,QF_BVFPLRA,sat,>=24s,no,63.959900000000005,63.9645,2,2022-Bitwuzla
QF_FPArith,QF_BVFPLRA,starexec-unknown,>=24s,no,8400.0,8400.0,7,2022-Bitwuzla
QF_FPArith,QF_BVFPLRA,unsat,<=24s,no,35.138208,35.155425,18,2022-Bitwuzla
QF_FPArith,QF_BVFPLRA,unsat,>=24s,no,3132.5426,3133.2269,10,2022-Bitwuzla
QF_FPArith,QF_FP,sat,<=24s,no,306.41116,306.4472249,108,2022-Bitwuzla
QF_FPArith,QF_FP,sat,>=24s,no,6757.2308,6758.7411,30,2022-Bitwuzla
QF_FPArith,QF_FP,starexec-unknown,>=24s,no,50400.0,50400.0,42,2022-Bitwuzla
QF_FPArith,QF_FP,unsat,<=24s,no,307.895914,307.946789,65,2022-Bitwuzla
QF_FPArith,QF_FP,unsat,>=24s,no,8504.9049,8506.5371,28,2022-Bitwuzla
QF_FPArith,QF_FPLRA,sat,<=24s,no,41.776986,41.781522100000004,49,2022-Bitwuzla
QF_FPArith,QF_FPLRA,sat,>=24s,no,994.6911,994.9307,5,2022-Bitwuzla
QF_FPArith,QF_FPLRA,starexec-unknown,>=24s,no,2400.0,2400.0,2,2022-Bitwuzla
QF_FPArith,QF_FPLRA,unsat,<=24s,no,0.189668,0.189682,1,2022-Bitwuzla
QF_FPArith,QF_FPLRA,unsat,>=24s,no,580.994,581.066,1,2022-Bitwuzla
Equality,UF,sat,<=24s,no,37.675817,35.048365000000004,14,2022-cvc5
Equality,UF,sat,>=24s,no,191000.4859,195126.6011,373,2022-cvc5
Equality,UF,starexec-unknown,>=24s,no,2017200.0,2017200.0,1681,2022-cvc5
Equality,UF,unsat,<=24s,no,511.46992,510.4162691,652,2022-cvc5
Equality,UF,unsat,>=24s,no,21877.7945,22146.0046,137,2022-cvc5
