division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
Equality+MachineArith,AUFBVFP,unsat,<=24s,no,105.854258,105.869882,13,2021-cvc5
Equality+MachineArith,AUFBVFP,unsat,>=24s,no,1334.1689,1656.8553,4,2021-cvc5
Equality+MachineArith,UFBV,sat,>=24s,no,210.93939999999998,210.9801,3,2021-cvc5
Equality+MachineArith,UFBV,starexec-unknown,>=24s,no,52737.146,53059.935,63,2021-cvc5
Equality+MachineArith,UFBV,unsat,<=24s,no,130.152684,130.1579688,59,2021-cvc5
Equality+MachineArith,UFBV,unsat,>=24s,no,2648.318,2658.1481,18,2021-cvc5
Equality+MachineArith,UFBVFP,starexec-unknown,<=24s,no,16.0526,16.053,1,2021-cvc5
Equality+MachineArith,UFBVFP,unsat,<=24s,no,0.2089,0.20838,1,2021-cvc5
Equality+MachineArith,UFBVLIA,starexec-unknown,>=24s,no,247200.0,247200.0,206,2021-cvc5
Equality+MachineArith,UFBVLIA,unsat,<=24s,no,11.80861,11.80934,2,2021-cvc5
Equality+MachineArith,UFFPDTNIRA,sat,<=24s,no,75.871846,75.9598569,36,2021-cvc5
Equality+MachineArith,UFFPDTNIRA,sat,>=24s,no,897.3406,908.7345,4,2021-cvc5
Equality+MachineArith,UFFPDTNIRA,starexec-unknown,<=24s,no,39.70208,39.76762,7,2021-cvc5
Equality+MachineArith,UFFPDTNIRA,starexec-unknown,>=24s,no,24830.8857,25175.8968,29,2021-cvc5
Equality+MachineArith,UFFPDTNIRA,unsat,<=24s,no,178.418448,178.41549990000001,316,2021-cvc5
Equality+MachineArith,UFFPDTNIRA,unsat,>=24s,no,2338.6273,2387.1141,4,2021-cvc5
FPArith,BVFP,sat,<=24s,no,28.974149,28.3836932,118,2021-cvc5
FPArith,BVFP,sat,>=24s,no,901.18,905.693,3,2021-cvc5
FPArith,BVFP,starexec-unknown,>=24s,no,92400.0,92400.0,77,2021-cvc5
FPArith,BVFP,unsat,<=24s,no,7.994730000000001,8.000294,3,2021-cvc5
FPArith,BVFP,unsat,>=24s,no,673.193,673.567,4,2021-cvc5
FPArith,BVFPLRA,sat,<=24s,no,47.505493,47.4741446,95,2021-cvc5
FPArith,BVFPLRA,starexec-unknown,<=24s,no,11.478558,11.471369,35,2021-cvc5
FPArith,BVFPLRA,starexec-unknown,>=24s,no,84000.0,84000.0,70,2021-cvc5
FPArith,BVFPLRA,unsat,<=24s,no,26.29617,26.296041000000002,9,2021-cvc5
FPArith,FP,sat,<=24s,no,480.276453,480.436178,40,2021-cvc5
FPArith,FP,sat,>=24s,no,22520.0032,22568.2415,60,2021-cvc5
FPArith,FP,starexec-unknown,>=24s,no,170400.0,170400.0,142,2021-cvc5
FPArith,FP,unsat,<=24s,no,1246.438007,1228.3634323,1005,2021-cvc5
FPArith,FP,unsat,>=24s,no,21409.7249,21802.5282,87,2021-cvc5
FPArith,FPLRA,sat,<=24s,no,60.381067,60.3798818,34,2021-cvc5
FPArith,FPLRA,sat,>=24s,no,161.576,161.589,1,2021-cvc5
FPArith,FPLRA,starexec-unknown,<=24s,no,2.5326809999999997,2.531865,2,2021-cvc5
FPArith,FPLRA,starexec-unknown,>=24s,no,42000.0,42000.0,35,2021-cvc5
FPArith,FPLRA,unsat,<=24s,no,26.042222,26.048478,15,2021-cvc5
QF_FPArith,QF_ABVFP,sat,<=24s,no,421.898955,407.7158802,100,2021-cvc5
QF_FPArith,QF_ABVFP,sat,>=24s,no,64.5822,64.5903,2,2021-cvc5
QF_FPArith,QF_ABVFP,starexec-unknown,>=24s,no,8400.0,8400.0,7,2021-cvc5
QF_FPArith,QF_ABVFP,unsat,<=24s,no,1566.112075,1545.965897,404,2021-cvc5
QF_FPArith,QF_ABVFP,unsat,>=24s,no,8881.8126,8814.0828,87,2021-cvc5
QF_FPArith,QF_ABVFPLRA,sat,<=24s,no,34.38961,34.389479,18,2021-cvc5
QF_FPArith,QF_ABVFPLRA,sat,>=24s,no,123.4173,123.4332,2,2021-cvc5
QF_FPArith,QF_ABVFPLRA,unsat,<=24s,no,7.422456,7.427704,3,2021-cvc5
QF_FPArith,QF_ABVFPLRA,unsat,>=24s,no,246.4058,246.4286,2,2021-cvc5
QF_FPArith,QF_AUFBVFP,sat,<=24s,no,6.67347,6.67301,1,2021-cvc5
QF_FPArith,QF_BVFP,sat,<=24s,no,441.041542,436.412574,192,2021-cvc5
QF_FPArith,QF_BVFP,sat,>=24s,no,102.51050000000001,102.5568,3,2021-cvc5
QF_FPArith,QF_BVFP,starexec-unknown,>=24s,no,2400.0,2400.0,2,2021-cvc5
QF_FPArith,QF_BVFP,unsat,<=24s,no,987.440631,976.6099338,252,2021-cvc5
QF_FPArith,QF_BVFP,unsat,>=24s,no,1737.0053,1737.3832,16,2021-cvc5
QF_FPArith,QF_BVFPLRA,sat,<=24s,no,99.7963,99.8005418,30,2021-cvc5
QF_FPArith,QF_BVFPLRA,sat,>=24s,no,247.1078,247.1202,5,2021-cvc5
QF_FPArith,QF_BVFPLRA,starexec-unknown,>=24s,no,9600.0,9600.0,8,2021-cvc5
QF_FPArith,QF_BVFPLRA,unsat,<=24s,no,97.602462,97.6078479,16,2021-cvc5
QF_FPArith,QF_BVFPLRA,unsat,>=24s,no,5298.471,5299.178,10,2021-cvc5
QF_FPArith,QF_FP,sat,<=24s,no,442.259315,429.2359389,100,2021-cvc5
QF_FPArith,QF_FP,sat,>=24s,no,6960.7429,6950.0431,44,2021-cvc5
QF_FPArith,QF_FP,starexec-unknown,>=24s,no,62400.0,62400.0,52,2021-cvc5
QF_FPArith,QF_FP,unsat,<=24s,no,512.546558,507.55605099999997,54,2021-cvc5
QF_FPArith,QF_FP,unsat,>=24s,no,11821.8881,11824.1474,35,2021-cvc5
QF_FPArith,QF_FPLRA,sat,<=24s,no,31.278256,31.290168299999998,42,2021-cvc5
QF_FPArith,QF_FPLRA,sat,>=24s,no,1273.94,1274.1162,3,2021-cvc5
QF_FPArith,QF_FPLRA,starexec-unknown,>=24s,no,9600.0,9600.0,8,2021-cvc5
QF_FPArith,QF_FPLRA,unsat,<=24s,no,1.50665,1.50611,1,2021-cvc5
QF_FPArith,QF_FPLRA,unsat,>=24s,no,39.4241,39.4606,1,2021-cvc5
QF_Equality+LinearArith,QF_ALIA,sat,<=24s,no,409.56934,143.932869,52,2021-SMTInterpol
QF_Equality+LinearArith,QF_ALIA,sat,>=24s,no,57.9767,27.4986,2,2021-SMTInterpol
QF_Equality+LinearArith,QF_ALIA,unsat,<=24s,no,125.213172,50.517131,54,2021-SMTInterpol
QF_Equality+LinearArith,QF_ALIA,unsat,>=24s,no,539.8662,393.9672,8,2021-SMTInterpol
QF_Equality+LinearArith,QF_AUFLIA,sat,<=24s,no,242.295971,122.9703,262,2021-SMTInterpol
QF_Equality+LinearArith,QF_AUFLIA,unsat,<=24s,no,647.454342,265.582713,276,2021-SMTInterpol
QF_Equality+LinearArith,QF_AUFLIA,unsat,>=24s,no,46.7057,7.83975,1,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFDTLIRA,starexec-unknown,<=24s,no,3.984099,2.875522,9,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFIDL,sat,<=24s,no,411.76374,165.338419,51,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFIDL,sat,>=24s,no,5040.0735,4609.7955999999995,32,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFIDL,starexec-unknown,>=24s,no,51600.0,51600.0,43,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFIDL,unsat,<=24s,no,980.03664,354.270516,98,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFIDL,unsat,>=24s,no,22789.8056,18668.13691,76,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLIA,sat,<=24s,no,653.762161,249.88377,229,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLIA,sat,>=24s,no,1425.0609,1092.6134000000002,9,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLIA,starexec-unknown,>=24s,no,137.867,115.768,1,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLIA,unsat,<=24s,no,155.535272,57.812186,56,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLIA,unsat,>=24s,no,400.1997,302.4633,5,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLRA,sat,<=24s,no,946.55128,349.351081,310,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLRA,sat,>=24s,no,4164.529399999999,3021.0706999999998,8,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLRA,starexec-unknown,>=24s,no,3600.0,3600.0,3,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLRA,unsat,<=24s,no,901.71839,315.035332,215,2021-SMTInterpol
QF_Equality+LinearArith,QF_UFLRA,unsat,>=24s,no,745.8457,453.40248,5,2021-SMTInterpol
QF_LinearRealArith,QF_LRA,sat,<=24s,no,651.847225,637.4989879,273,2021-Yices2
QF_LinearRealArith,QF_LRA,sat,>=24s,no,10513.9206,10489.3066,51,2021-Yices2
QF_LinearRealArith,QF_LRA,starexec-unknown,>=24s,no,49200.0,49200.0,41,2021-Yices2
QF_LinearRealArith,QF_LRA,unsat,<=24s,no,605.635458,605.9687055,154,2021-Yices2
QF_LinearRealArith,QF_LRA,unsat,>=24s,no,15096.8972,15085.5481,59,2021-Yices2
QF_LinearRealArith,QF_RDL,sat,<=24s,no,135.83159,138.24014499999998,99,2021-Yices2
QF_LinearRealArith,QF_RDL,sat,>=24s,no,589.4509,612.5135,6,2021-Yices2
QF_LinearRealArith,QF_RDL,starexec-unknown,>=24s,no,40800.0,40800.0,34,2021-Yices2
